Brand,Owner,Ownership Type
Cheerios,General Mills,Megacorp
Kix,General Mills,Megacorp
Chex,General Mills,Megacorp
Cinnamon Toast Crunch,General Mills,Megacorp
Reeses Puffs,General Mills,Megacorp
Cocoa Puffs,General Mills,Megacorp
Trix,General Mills,Megacorp
Lucky Charms,General Mills,Megacorp
Cookie Crisp,General Mills,Megacorp
Golden Grahams,General Mills,Megacorp
Fiber One,General Mills,Megacorp
Wheeties,General Mills,Megacorp
Total,General Mills,Megacorp
Oatmeal Crisp,General Mills,Megacorp
Raisin Nut Bran,General Mills,Megacorp
Basic 4,General Mills,Megacorp
All-bran,Kellogg's,Megacorp
Honey Smacks,Kellogg's,Megacorp
Cracklin' Oat Bran,Kellogg's,Megacorp
Krave,Kellogg's,Megacorp
Corn Flakes,Kellogg's,Megacorp
Crispix,Kellogg's,Megacorp
Raisin Bran,Kellogg's,Megacorp
Corn Pops,Kellogg's,Megacorp
Mueslix,Kellogg's,Megacorp
Bear Naked Granola,Kellogg's,Megacorp
Smart Start,Kellogg's,Megacorp
Apple Jacks,Kellogg's,Megacorp
Special K,Kellogg's,Megacorp
Frosted Flakes,Kellogg's,Megacorp
Froot Loops,Kellogg's,Megacorp
Frosted Mini Wheats,Kellogg's,Megacorp
Kashi,Kellogg's,Megacorp
Rice Krispies,Kellogg's,Megacorp
Alpen Muesli,Post,Megacorp
Barbara's,Post,Megacorp
Better Oats,Post,Megacorp
Bran Flakes,Post,Megacorp
Coco Wheats,Post,Megacorp
Disney100,Post,Megacorp
Farina Mills,Post,Megacorp
Golden Crisp,Post,Megacorp
Grape-Nuts,Post,Megacorp
Great Grains,Post,Megacorp
Honey Bunches of Oats,Post,Megacorp
HONEY MAID S’mores,Post,Megacorp
Honeycomb,Post,Megacorp
Malt-O-Meal Hot,Post,Megacorp
Malt-O-Meal,Post,Megacorp
Mom's Best,Post,Megacorp
Honey Ohs!,Post,Megacorp
OREO O’s,Post,Megacorp
PEBBLES,Post,Megacorp
Premier Protein,Post,Megacorp
Puffins,Post,Megacorp
Raisin Bran,Post,Megacorp
Shredded Wheat,Post,Megacorp
Snoop Cereal,Post,Megacorp
Sweet Dreams,Post,Megacorp
Sweet Home Farm,Post,Megacorp
Uncle Sam,Post,Megacorp
Waffle Crisp,Post,Megacorp
Weetabix,Post,Megacorp
Cap'n Crunch,PepsiCo,Megacorp
Quaker Oats,PepsiCo,Megacorp
Life Cereal,PepsiCo,Megacorp
Annies Organic Cocoa Bunnies,General Mills,Megacorp
Heritage Flakes,Nature's Path,Founder Family Owned
Heritage O's,Nature's Path,Founder Family Owned
Love Crunch,Nature's Path,Founder Family Owned
Mesa Sunrise,Nature's Path,Founder Family Owned
Smart Bran,Nature's Path,Founder Family Owned
Gorilla Munch,Nature's Path,Founder Family Owned
Panda Puffs,Nature's Path,Founder Family Owned
Fruit Juice Sweetened Corn Flakes,Nature's Path,Founder Family Owned
Koala Crisp,Nature's Path,Founder Family Owned
Amazon Flakes,Nature's Path,Founder Family Owned
